overall_qual,c_total_area,garage_area,c_tot_exter,c_total_bath,year_built,c_tot_bsmt,c_ord_garage_finish,c_ord_fireplace_qu,mas_vnr_area,c_ord_heating_qc,neighborhood_NridgHt,bsmtfin_sf_1,c_total_porch_area,saleprice
6,2204.0,475.0,7,3.0,1976,7,2,0,289.0,5,0.0,533.0,44,130500
7,3035.0,559.0,7,4.0,1996,8,2,3,132.0,5,0.0,637.0,74,220000
5,2114.0,246.0,7,2.0,1953,7,1,0,0.0,3,0.0,731.0,52,109000
5,1828.0,400.0,6,3.0,2006,8,3,0,0.0,4,0.0,0.0,100,174000
6,2121.0,484.0,6,2.0,1900,7,1,0,0.0,3,0.0,0.0,59,138500
6,3405.0,578.0,7,3.0,1966,7,3,4,0.0,5,0.0,247.0,0,190000
6,1619.0,525.0,6,3.0,2005,11,3,0,82.0,4,0.0,547.0,44,140000
5,2376.0,531.0,6,2.0,1959,7,2,0,180.0,2,0.0,1000.0,0,142000
5,1848.0,420.0,6,1.0,1952,7,1,0,0.0,3,0.0,292.0,324,112500
5,3120.0,504.0,6,4.0,1969,10,1,3,192.0,3,0.0,650.0,335,135000
6,1470.0,264.0,6,2.0,1971,7,1,0,232.0,3,0.0,387.0,0,85400
7,2416.0,632.0,7,2.0,2005,10,2,0,0.0,5,0.0,393.0,163,183600
5,2016.0,576.0,7,1.0,1880,0,1,3,0.0,5,0.0,0.0,0,131000
8,2567.0,480.0,7,4.0,1999,8,1,0,456.0,5,0.0,813.0,169,200000
7,2712.0,610.0,7,2.0,2007,10,2,0,0.0,5,0.0,24.0,50,193000
5,2860.0,624.0,6,2.0,2004,11,2,0,0.0,5,0.0,0.0,0,173500
5,1968.0,513.0,6,1.0,1916,7,1,0,0.0,2,0.0,0.0,96,98000
5,2242.0,480.0,6,2.0,1963,7,1,0,0.0,3,0.0,651.0,80,139000
6,1945.0,528.0,6,2.0,1977,7,2,3,148.0,5,0.0,0.0,138,143500
7,2303.0,614.0,6,3.0,2009,9,1,0,0.0,5,0.0,24.0,214,215200
5,1788.0,450.0,6,1.0,1968,8,3,1,0.0,4,0.0,492.0,0,129000
8,3160.0,499.0,7,3.0,2000,8,3,5,0.0,5,0.0,1158.0,271,278000
6,2355.0,420.0,7,3.0,1992,8,3,0,0.0,5,0.0,935.0,504,185000
5,2112.0,572.0,6,2.0,1955,8,3,0,0.0,3,0.0,1056.0,264,145000
6,2906.0,530.0,6,3.0,1961,7,2,3,3.0,5,0.0,1312.0,337,187500
5,1788.0,336.0,7,2.0,1965,7,1,4,0.0,5,0.0,553.0,560,138500
5,2880.0,240.0,6,2.0,1937,7,1,4,0.0,5,0.0,606.0,40,198000
5,2948.0,0.0,7,2.0,1895,7,0,0,0.0,2,0.0,0.0,133,119600
5,1596.0,576.0,7,1.0,1949,8,1,1,0.0,5,0.0,0.0,0,122900
8,5048.0,542.0,7,4.0,1981,8,3,4,0.0,3,0.0,1104.0,594,278000
8,2309.0,400.0,6,1.0,1929,8,1,4,0.0,2,0.0,0.0,0,230000
8,2988.0,481.0,8,3.0,1995,11,3,4,0.0,5,0.0,437.0,246,270000
6,1896.0,410.0,6,1.0,1952,7,1,0,0.0,3,0.0,441.0,48,125000
8,3423.0,826.0,7,3.0,2007,12,2,4,336.0,5,0.0,1288.0,252,297000
6,1302.0,384.0,6,1.0,1958,11,2,4,82.0,2,0.0,0.0,92,113500
5,2232.0,336.0,6,2.0,1977,7,2,3,0.0,5,0.0,548.0,130,127000
6,3688.0,546.0,6,2.0,1977,8,2,3,480.0,5,0.0,705.0,122,190000
7,2484.0,528.0,6,2.0,1973,7,1,3,320.0,2,0.0,916.0,0,175500
5,1980.0,384.0,7,2.0,1994,9,1,0,0.0,5,0.0,420.0,256,146000
5,2512.0,276.0,7,3.0,1965,7,3,0,0.0,4,0.0,830.0,804,147500
5,2207.0,602.0,7,2.0,1978,10,3,3,104.0,5,0.0,1097.0,333,165500
5,2845.0,352.0,6,2.0,1954,7,1,0,335.0,5,0.0,0.0,0,131500
5,2080.0,384.0,6,2.0,1965,7,1,0,0.0,5,0.0,906.0,0,129500
8,2481.0,786.0,6,2.0,1935,6,3,4,40.0,3,0.0,210.0,207,257076
5,2588.0,660.0,6,2.0,1941,7,1,0,0.0,5,0.0,408.0,68,117000
7,2278.0,270.0,5,2.0,1931,8,2,4,0.0,3,0.0,0.0,112,149000
5,2119.0,280.0,6,2.0,1954,7,2,0,110.0,3,0.0,354.0,164,128000
7,2390.0,474.0,7,3.0,2003,8,2,0,106.0,5,1.0,0.0,27,155000
6,2280.0,440.0,7,3.0,2000,8,1,0,513.0,5,0.0,353.0,32,166000
4,3103.0,576.0,6,3.0,1928,7,1,3,0.0,3,0.0,622.0,475,135000
7,4176.0,564.0,6,5.0,1978,8,2,3,184.0,3,0.0,790.0,552,250000
4,1638.0,0.0,6,2.0,1970,7,0,0,0.0,5,0.0,176.0,226,76000
6,1791.0,400.0,6,2.0,1951,7,1,4,522.0,3,0.0,0.0,0,155000
6,2015.0,299.0,6,2.0,1969,7,3,0,143.0,3,0.0,371.0,415,158000
7,1800.0,480.0,7,4.0,2004,8,2,0,0.0,5,0.0,368.0,172,149500
5,1872.0,240.0,7,1.0,1954,7,1,0,0.0,3,0.0,486.0,160,121000
6,2080.0,293.0,6,2.0,1953,7,3,0,0.0,3,0.0,85.0,0,136000
6,2552.0,386.0,6,3.0,1996,8,3,3,0.0,4,0.0,138.0,252,173000
8,3422.0,671.0,7,3.0,1999,8,3,4,348.0,5,0.0,524.0,189,290000
8,3794.0,550.0,7,3.0,2007,10,3,4,0.0,5,0.0,64.0,572,303477
7,2903.0,690.0,8,3.0,1977,11,2,3,0.0,4,0.0,1092.0,496,270000
5,2676.0,225.0,4,1.0,1920,7,1,4,0.0,4,0.0,360.0,236,122250
5,2764.0,350.0,6,2.0,1955,7,1,0,0.0,4,0.0,172.0,280,153000
5,2240.0,0.0,6,1.0,2007,8,0,0,0.0,5,0.0,206.0,30,147000
7,1629.0,216.0,6,2.0,1930,8,1,4,0.0,3,0.0,246.0,0,148500
7,2684.0,380.0,7,2.0,2004,8,1,0,117.0,5,0.0,0.0,40,130000
9,3604.0,843.0,8,3.0,2006,12,3,4,510.0,5,1.0,0.0,263,372000
7,2868.0,440.0,7,2.0,2005,11,3,4,145.0,5,0.0,16.0,162,213490
7,3016.0,572.0,7,2.0,2009,11,2,3,96.0,5,0.0,1346.0,0,308030
7,3872.0,786.0,7,4.0,1996,10,3,0,668.0,5,0.0,700.0,238,300000
6,1849.0,539.0,6,2.0,1959,8,3,2,0.0,5,0.0,655.0,192,159500
